City,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition,Min Temp,Max Temp,Condition
Abala,19,29,R,18,30,PC,17,31,PC,18,30,PC,17,31,PC
Abobo,23,31,R,22,32,R,21,33,PC,20,32,PC,22,31,LR
Abomsa,16,29,R,17,28,R,16,29,R,15,30,LR,16,31,LR
Adama,18,28,R,19,27,R,18,28,R,17,29,LR,16,30,LR
adaba,11,19,R,10,20,LR,11,19,R,12,20,R,11,21,R
Addis Ababa,13,22,R,12,23,R,11,24,LR,12,23,R,11,24,LR
Addis Ababa Obs,11,22,R,12,21,R,11,22,LR,12,21,R,11,22,LR
Addis Zemen,12,21,R,11,22,R,12,21,R,11,22,LR,10,23,LR
Adelle,10,24,R,11,23,R,10,24,R,9,25,LR,10,24,LR
Adet,13,21,R,12,22,R,11,23,LR,12,22,R,11,23,LR
adwa,11,22,R,10,23,LR,9,24,LR,10,23,LR,9,24,PC
AdiArkay,14,22,R,15,21,R,14,22,R,13,23,R,14,22,R
Adigrat,11,23,R,10,24,LR,9,25,LR,9,26,PC,10,25,PC
admaitulu,14,24,R,13,25,LR,14,24,R,13,25,LR,12,25,LR
Agayo,12,20,R,11,21,LR,12,20,R,12,21,R,13,20,R
Adola,12,22,LR,11,23,LR,10,22,LR,11,21,LR,12,20,LR
Aira,16,25,R,15,26,R,14,27,LR,15,26,R,16,25,R
Alem ketema,5,22,R,6,21,R,5,22,LR,5,22,LR,4,23,PC
Alemtefere,14,25,R,15,24,R,16,23,LR,15,24,R,14,23,R
Alamata,14,26,LR,13,27,LR,14,26,LR,13,27,PC,12,26,PC
Alefa,12,21,R,11,22,R,10,23,LR,11,22,R,12,23,R
Alge,14,23,R,15,22,R,14,23,LR,15,22,R,16,21,R
Aletawondo,13,20,R,12,21,LR,11,22,LR,12,21,R,13,20,R
Aman,10,26,R,9,27,PC,9,27,PC,10,26,PC,11,25,LR
Amba Mariam,4,22,R,3,23,LR,4,22,LR,5,22,LR,4,21,PC
Amaro,12,22,LR,11,23,PC,10,24,PC,9,23,PC,10,22,LR
Ambo,15,25,R,14,26,R,13,27,LR,14,26,R,13,27,LR
Amdewerk,13,24,R,12,25,R,11,26,LR,12,25,LR,11,26,LR
Ameya,12,20,R,13,19,R,12,20,LR,13,19,R,12,20,LR
Anfillo,16,23,R,15,24,R,14,25,LR,15,24,R,16,23,R
Ankober,10,22,R,11,21,R,10,22,LR,9,23,PC,10,22,PC
Arba Minch,18,30,LR,17,31,PC,18,30,LR,18,29,LR,19,28,R
Arerti,15,25,LR,16,24,R,15,25,LR,14,26,LR,15,25,LR
Argoba,18,28,LR,19,27,R,18,28,LR,17,29,PC,16,30,PC
Arjo,12,19,R,13,18,R,12,19,LR,13,18,R,13,18,R
Arsi robe,10,21,R,11,20,R,10,21,R,10,22,LR,11,23,LR
Asaita,23,37,LR,22,38,PC,21,37,PC,20,38,PC,21,37,PC
Assela,11,19,R,10,20,R,11,19,R,10,20,LR,11,21,LR
Asossa,17,24,R,16,25,LR,17,24,R,18,23,R,17,24,R
Atsebi,14,21,R,13,22,LR,12,23,LR,11,22,PC,10,23,PC
Awash Arba,23,37,R,24,36,R,23,37,R,22,37,LR,21,38,LR
Awash Fentale,20,33,LR,21,32,R,21,33,R,20,34,PC,21,33,LR
Awaro,18,30,PC,17,31,PC,16,32,PC,17,31,PC,18,30,PC
Axum,12,22,R,11,23,LR,10,24,LR,11,23,LR,10,22,PC
Ayehu,13,25,R,12,26,R,11,27,LR,10,26,LR,12,25,R
Aykel,13,23,R,14,22,R,13,23,   LR,12,24,LR,13,23,LR
Aysha,27,40,LR,28,39,LR,27,40,PC,26,41,PC,27,40,PC
Babile,17,25,LR,16,26,PC,15,27,PC,14,27,PC,15,26,PC
Bahir Dar,16,29,R,17,28,R,16,29,LR,17,28,R,16,29,R
Bale robe,10,22,R,9,23,LR,10,22,R,9,23,LR,10,22,LR
Bati,14,31,R,13,32,LR,13,31,PC,12,32,PC,13,31,PC
Basketo,17,25,LR,16,26,LR,15,27,LR,14,26,PC,15,25,LR
Batu,17,29,R,18,28,R,17,29,R,16,30,LR,17,29,LR
Bedele,14,23,R,13,24,R,14,23,R,13,24,R,14,23,R
Begi,15,23,R,16,22,R,15,21,R,14,22,R,15,21,R
Billate,17,29,LR,18,28,LR,17,29,LR,18,28,R,19,27,R
Bishoftu,11,22,R,12,21,R,11,22,LR,10,23,LR,9,22,LR
Bonga,12,22,R,13,21,LR,12,22,R,11,23,R,12,22,R
Bore,8,17,R,9,16,LR,10,17,R,9,18,R,10,17,R
Boste,16,27,LR,15,26,R,16,25,R,15,26,LR,14,27,LR
BUI,7,27,R,8,26,R,7,27,R,6,28,LR,7,27,LR
Bule Hora,13,24,LR,12,25,PC,13,24,PC,14,23,LR,13,24,LR
Bullen,16,26,R,15,27,LR,15,27,LR,16,26,R,17,25,R
Bure,16,24,R,15,25,R,16,24,LR,15,23,R,14,24,R
Buri,25,35,LR,24,36,PC,23,37,PC,22,35,PC,21,36,PC
Burji,14,26,LR,13,27,PC,13,27,PC,12,28,PC,14,26,LR
Burka,18,27,LR,17,28,PC,16,29,LR,17,28,PC,16,29,PC
Butajra,13,20,R,12,21,LR,12,21,LR,13,20,R,12,21,LR
Chagni,15,27,R,16,26,R,15,27,LR,16,26,R,15,27,R
Cheffa,19,31,R,18,32,R,17,33,LR,18,32,PC,17,33,PC
Chercher,17,28,LR,16,29,PC,15,30,LR,16,29,PC,15,30,PC
Chewaka,10,29,R,11,28,R,12,27,R,11,28,R,12,27,R
Chewahit,11,22,R,10,23,R,11,24,LR,10,25,R,11,24,R
Chifra,15,27,R,14,28,PC,15,28,PC,14,29,PC,15,28,PC
Chinaksen,15,24,LR,14,25,LR,16,24,R,14,25,PC,15,26,LR
Chira,12,23,R,11,24,LR,12,23,R,13,22,R,12,23,R
Chiro,15,23,R,14,24,LR,13,25,R,14,24,LR,13,25,LR
Combolcha,17,29,R,16,30,R,15,29,LR,14,30,PC,13,31,PC
Dallifage,15,35,LR,16,34,LR,15,35,LR,14,35,PC,13,35,PC
Dangila,14,24,R,13,25,R,12,26,LR,13,25,R,14,24,R
Dawa,19,31,LR,18,32,LR,17,33,PC,18,32,PC,17,33,PC
Debark,11,18,R,10,19,R,11,18,R,10,19,LR,11,18,R
Debre Berhan,6,20,R,7,19,R,6,20,LR,6,21,LR,5,22,PC
Debre Markos,11,21,R,12,20,R,11,21,LR,10,22,R,11,21,LR
Debre sina,11,22,R,10,23,R,10,22,LR,9,23,LR,8,22,LR
Debre Tabor,14,22,R,15,21,R,14,22,LR,13,21,LR,12,22,LR
Debre work,13,22,R,12,23,R,11,24,LR,12,23,R,11,24,LR
Dedessa,15,25,R,16,24,R,15,25,R,14,24,R,15,23,R
Dessie,11,21,R,10,22,     LR,9,21,LR,10,20,PC,9,21,PC
DegaHabour,18,30,PC,17,31,PC,16,30,PC,17,31,PC,16,30,PC
Dejen,10,21,R,11,20,R,10,21,LR,11,20,R,10,21,LR
Delo Mena,16,26,LR,15,27,PC,14,28,PC,15,27,PC,14,28,PC
Derashe,14,24,LR,13,25,PC,12,26,PC,13,25,PC,12,26,LR
Denan,18,35,PC,17,36,PC,16,35,PC,17,36,PC,16,35,PC
Dembidolo,13,26,R,12,27,R,11,28,LR,12,27,R,13,26,R
DestaAbjta,12,22,R,11,23,R,12,22,R,11,21,LR,10,22,LR
Dilla,13,25,R,12,26,LR,15,27,PC,14,26,R,15,25,R
Dillo,17,26,PC,16,27,PC,15,28,PC,16,27,PC,15,38,PC
Dire Dawa,19,34,LR,20,33,LR,21,32,R,20,33,PC,21,32,LR
Dodola,9,18,R,8,19,LR,9,18,R,8,19,R,9,18,R
Dolooddo,21,36,PC,22,35,PC,21,34,PC,20,35,PC,21,34,PC
Dubti,26,36,LR,25,37,PC,24,36,PC,23,37,PC,22,38,PC
Durame,13,19,R,12,20,LR,13,21,LR,12,22,R,11,23,R
Ejaji,16,25,R,15,26,R,14,27,LR,15,26,R,14,27,LR
Elidar,25,37,LR,24,38,PC,23,39,PC,22,40,PC,23,39,PC
Elieya,20,30,LR,21,29,R,20,30,LR,19,31,PC,20,30,LR
Elo Gorati,13,27,LR,14,26,LR,15,25,LR,14,26,LR,13,27,PC
Emdibir,11,23,R,12,22,R,11,23,LR,10,24,LR,11,23,LR
Enewari,11,21,R,10,22,R,9,23,LR,10,22,LR,11,21,PC
Enjibara,12,19,R,11,20,R,13,19,LR,12,20,R,11,21,LR
Erer,21,31,PC,20,30,PC,19,31,PC,18,32,PC,19,31,PC
Fiche,10,19,R,9,20,R,10,19,LR,9,20,LR,10,19,LR
Filtu,17,29,PC,16,30,PC,15,29,PC,14,30,PC,15,29,PC
Fiq,16,27,PC,15,28,PC,14,27,PC,13,28,PC,14,29,PC
Fugnido,20,33,R,21,32,R,20,33,PC,21,32,PC,20,33,LR
Gambela,22,29,R,23,28,R,22,29,LR,21,30,PC,22,29,R
Gatira,14,25,R,13,26,R,12,27,LR,13,26,R,14,25,R
Gebre Guracha,11,21,LR,10,22,R,11,21,LR,10,22,LR,9,21,LR
Gelemso,17,25,LR,16,26,LR,15,27,LR,16,26,LR,15,27,LR
Geresse,16,25,LR,15,26,LR,17,25,LR,16,26,LR,15,27,LR
Gewada,16,26,LR,15,27,PC,14,28,PC,13,27,PC,12,28,LR
Gewane,25,38,LR,25,37,R,24,36,PC,23,37,PC,22,38,PC
Gida Ayana,12,24,R,13,23,R,12,24,LR,13,23,R,12,23,R
Gimbi,15,25,R,14,26,R,13,27,LR,14,26,R,15,25,R
Ginir,15,27,LR,14,28,LR,15,27,LR,14,28,LR,15,27,LR
Girawa,13,21,LR,12,22,PC,11,23,LR,10,24,PC,11,23,LR
Gode,26,39,PC,25,40,PC,26,39,PC,25,40,PC,26,39,PC
Gololcha,15,23,R,14,24,LR,15,23,R,14,24,LR,13,25,LR
Gonder,16,25,R,15,26,R,14,27,     LR,15,26,R,16,25,R
Gore,14,23,     R,15,22,R,14,23,R,13,21,R,12,22,R
Guba,18,27,R,19,26,LR,18,27,    LR,17,28,LR,18,29,LR
Gulina,23,33,LR,22,34,PC,22,33,PC,21,34,PC,20,35,PC
Gumide,15,23,LR,14,26,PC,13,25,PC,14,24,PC,13,25,LR
Gundo Meskel,13,22,LR,14,21,R,13,22,LR,12,23,LR,13,22,LR
harar,14,26,R,13,27,PC,14,26,LR,13,27,LR,14,26,LR
Haromeya,15,25,R,14,26,PC,15,25,R,14,26,PC,15,25,LR
Gursum,13,27,   LR,12,28,LR,13,27,LR,14,26,LR,15,27,LR
Halabaqulito,14,22,R,13,23,LR,12,22,LR,13,21,LR,12,20,LR
Hana,19,30,LR,18,29,LR,17,30,LR,18,29,PC,17,30,LR
Hawassa,15,25,R,14,26,LR,15,25,R,16,24,R,15,25,R
Hosana,12,22,R,11,23,LR,12,22,LR,13,23,R,12,22,R
Humera,19,29,R,18,30,LR,19,31,LR,20,30,LR,19,29,LR
Hundufo,24,35,LR,25,34,LR,24,37,PC,23,38,PC,22,37,PC
Immi,22,31,PC,23,30,PC,22,29,PC,21,30,PC,20,31,PC
Jara,15,26,LR,14,27,LR,13,28,LR,14,27,LR,15,26,LR
Jeldu,13,21,R,12,22,R,11,21,    LR,10,22,R,11,21,R
Jijiga,15,29,LR,14,30,PC,15,29,LR,14,30,PC,15,29,LR
Jimma,14,28,R,13,29,LR,14,28,LR,15,27,R,16,26,R
Jinka,18,28,LR,17,29,PC,16,30,PC,17,29,PC,16,30,PC
Kachise,12,20,R,11,21,R,10,22,LR,11,21,R,12,20,R
Kamashi,17,26,R,18,25,R,17,24,LR,16,25,R,17,24,R
Kangati,16,28,LR,15,29,PC,14,28,PC,15,27,PC,14,28,PC
KebriDehar,14,35,PC,13,36,PC,14,37,PC,15,36,PC,14,37,PC
Kemisse,15,26,R,16,25,LR,15,26,LR,14,27,PC,15,26,PC
Kobo,14,25,R,15,24,LR,14,26,LR,15,24,PC,14,25,PC
Kofele,11,17,R,12,16,LR,13,15,R,12,16,R,11,17,R
Konta,15,24,LR,14,25,PC,13,26,PC,12,25,LR,11,26,LR
Konso,18,29,PC,17,30,PC,18,29,PC,17,30,PC,18,29,LR
Kulubi,11,24,LR,12,23,LR,11,24,LR,10,25,PC,9,26,LR
Kulumsa,13,22,R,12,23,R,13,22,R,12,23,LR,11,24,LR
Kurmuk,16,27,R,17,26,LR,16,27,R,15,28,LR,16,27,R
Laiber,15,24,R,13,25,R,14,24,LR,13,25,R,12,26,R
Lalibela,13,21,R,12,22,LR,11,23,LR,12,22,LR,11,21,PC
Lare,18,32,LR,19,31,R,18,30,LR,17,31,PC,18,32,PC
Limmu,14,21,R,13,22,R,12,21,LR,11,22,R,12,21,R
Limu Genet,15,26,R,15,26,R,14,25,LR,13,26,R,14,25,R
Maichew,13,24,LR,12,25,LR,11,24,LR,12,23,LR,11,22,PC
Majete,15,29,R,16,28,R,15,27,LR,14,28,PC,15,29,PC
Maji,13,21,LR,11,22,PC,10,23,PC,11,22,PC,12,21,LR
Mankush,21,32,R,20,33,LR,19,32,LR,21,31,R,22,30,R
Masha,11,23,R,12,22,R,11,23,LR,12,22,R,11,23,R
Meda Walabu,16,27,LR,15,28,PC,14,29,PC,15,28,LR,14,29,PC
Mega,12,23,PC,11,24,PC,12,23,PC,13,22,PC,11,23,PC
Mehalmeda,8,19,R,9,18,R,8,19,LR,9,19,LR,8,18,PC
Meiso,18,27,LR,19,26,LR,18,27,LR,19,26,LR,18,27,LR
Mekaneselam,11,20,R,12,19,R,11,21,LR,10,22,LR,11,21,LR
Mekelle,11,24,LR,10,24,LR,9,25,LR,10,24,PC,11,23,PC
Meki,12,24,LR,13,23,R,12,24,R,11,23,LR,12,24,LR
Meraro,11,18,LR,10,19,R,9,20,R,10,21,LR,11,20,LR
Merti,14,23,LR,13,24,R,14,23,R,13,24,LR,12,25,LR
Metehara,21,35,R,22,34,R,21,35,R,20,35,LR,20,36,PC
Metema,19,32,R,18,33,LR,19,32,LR,20,31,LR,19,32,LR
Mille,24,37,LR,23,36,PC,22,35,PC,23,34,PC,22,35,PC
Mirab Abaya,19,32,LR,18,30,PC,19,29,LR,18,28,LR,19,27,R
Modjo,13,25,R,12,26,R,13,25,R,14,24,LR,13,25,LR
Motta,12,23,R,11,24,R,12,23,LR,13,22,R,12,23,LR
Moyale,15,31,PC,16,30,PC,15,31,PC,16,30,PC,15,31,PC
Munessa,12,18,R,11,19,R,10,20,R,11,19,LR,10,20,LR
Mytsebri,16,25,R,17,24,LR,16,25,R,15,26,LR,14,27,LR
Nebelet,15,22,R,14,23,LR,13,24,LR,14,23,LR,13,22,PC
Nedjo,15,24,R,14,25,R,15,24,R,14,25,R,15,24,R
Nifas Mewicha,10,17,R,11,16,R,10,18,LR,9,19,LR,10,18,LR
Negele,17,29,PC,16,30,PC,17,29,PC,16,30,PC,15,31,PC
Nekemte,14,24,R,15,23,R,14,24,LR,15,23,R,14,24,R
Nura-era,18,31,R,17,31,R,18,30,R,17,31,LR,16,32,LR
Ofla,12,24,LR,11,23,LR,10,24,LR,11,23,PC,12,22,PC
Ogolcho,14,23,R,13,24,LR,12,25,R,13,24,LR,14,23,LR
Omorate,17,29,LR,16,28,PC,15,29,PC,16,28,PC,17,27,PC
pawe,18,30,R,17,31,LR,18,30,LR,19,29,R,18,30,LR
Quara,21,29,R,20,30,LR,19,29,LR,20,28,LR,21,29,LR
Sawula,19,31,LR,18,32,LR,19,31,LR,18,32,LR,17,33,LR
Samre,12,26,LR,11,25,LR,10,24,LR,11,23,PC,12,22,PC
Sebeta Hawas,10,21,R,11,20,      R,12,21,LR,11,22,LR,10,23,LR
Sheno,9,18,LR,10,19,R,11,20,R,10,21,LR,9,22,LR
Sekota,12,24,R,11,25,LR,12,24,LR,11,25,LR,10,26,PC
Semera,26,41,LR,25,42,PC,24,40,PC,23,41,PC,22,42,PC
Senkata,12,23,R,11,24,LR,10,25,LR,11,25,PC,10,26,PC
Serba Abaya,14,25,R,15,24,R,16,25,LR,15,26,R,16,25,R
Serkem,15,29,PC,14,30,PC,13,29,PC,12,30,PC,11,31,PC
Seru,11,25,LR,12,21,LR,11,22,LR,12,21,LR,13,20,LR
Setema,12,21,R,11,22,R,12,21,R,13,20,R,12,21,       R
Shahura,14,23,R,13,24,R,12,25,LR,13,24,LR,12,25,LR
Shashemene,13,21,R,12,22,LR,13,21,R,12,22,LR,13,21,R
Shambu,13,21,R,14,20,R,13,21,LR,14,20,R,13,21,R
Sekela,13,20,R,12,21,R,11,20,LR,10,19,R,9,20,R
Sherkole,15,33,R,14,32,LR,13,31,LR,14,30,LR,13,31,R
Sherka,14,30,LR,15,29,R,16,28,LR,15,29,LR,16,30,R
shiraro,14,25,R,13,26,LR,12,25,LR,13,26,LR,14,27,LR
Shire Endasilasse,16,24,R,15,25,LR,14,26,LR,15,25,LR,14,26,LR
Shilabo,20,31,PC,21,32,PC,22,33,PC,21,34,PC,20,33,PC
Shola Gebeya,6,19,LR,7,18,R,6,19,LR,5,20,PC,5,21,PC
Showarobit,16,28,LR,17,27,R,16,28,LR,15,27,PC,14,28,PC
Sirinka,14,29,R,13,30,LR,14,29,LR,13,30,PC,12,31,PC
Soge,17,25,R,16,26,R,15,25,LR,14,26,R,15,25,R
Sokoru,14,25,R,13,26,LR,13,25,LR,14,24,R,13,25,LR
Teferi Ber,15,22,LR,14,23,PC,13,24,LR,12,23,PC,11,22,LR
Teji,11,22,R,12,23,LR,11,22,LR,12,21,R,13,20,LR
Telalak,21,29,LR,20,30,LR,19,31,PC,18,32,PC,19,31,PC
Tena,10,19,R,11,20,R,10,19,R,9,20,LR,10,19,LR
Tepi,18,30,R,17,31,LR,17,32,PC,18,31,LR,19,30,R
Tercha,19,29,LR,18,30,LR,17,31,PC,19,30,R,18,31,R
Tsitsika,14,26,R,13,27,LR,14,26,LR,13,25,LR,14,24,LR
Turmi,20,30,LR,19,31,PC,18,32,PC,19,33,PC,18,32,PC
Wacile,16,27,PC,15,26,PC,14,27,PC,15,26,PC,14,27,PC
Wegeltena,10,20,     R,9,21,LR,6,19,LR,5,20,PC,6,19,PC
Welkait,14,22,R,13,23,LR,12,24,LR,11,25,LR,12,24,LR
Werabe,14,24,R,13,25,R,14,24,R,13,25,LR,12,26,LR
Wereilu,11,21,R,12,20,R,11,21,LR,10,22,LR,11,23,PC
Werka(Nensebo),16,19,R,15,20,LR,16,21,R,15,22,LR,14,21,LR
Wolaitasodo,16,25,R,15,26,LR,14,27,LR,16,25,R,15,26,R
Woldiya,13,24,LR,12,25,LR,13,26,LR,14,25,PC,13,26,PC
Woliso,13,21,R,14,20,R,13,21,LR,14,20,R,13,21,LR
Wonchi,12,21,R,11,22,R,12,21,LR,13,20,R,12,21,LR
Wukro,12,23,LR,11,24,LR,12,23,LR,13,22,PC,12,23,PC
Yabelo,12,27,PC,13,26,PC,12,27,PC,13,26,PC,14,25,LR
Yaya Gullele,11,20,R,12,19,R,11,20,LR,10,21,LR,9,22,LR
Yayo,12,23,R,13,22,R,12,23,R,13,22,R,12,23,R
Yeki,14,22,R,13,23,R,12,24,LR,13,23,R,14,22,R
Yirgalem,13,22,R,12,23,LR,11,24,LR,12,23,R,13,22,R
Yitinora,14,22,R,13,23,R,12,24,LR,13,23,R,12,24,LR
